2025-04-10 11:40:21.611 [main] [] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-10 11:40:21.635 [main] [] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-04-10 11:40:21.649 [main] [] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-04-10 11:40:21.742 [main] [] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-10 11:40:21.763 [main] [] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-04-10 11:40:21.916 [main] [] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-04-10 11:40:21.918 [main] [] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-10 11:40:22.015 [main] [] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-10 11:40:22.454 [main] [] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-04-10 11:40:22.498 [main] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-04-10 11:40:22.500 [main] [] INFO  c.i.m.MusicDistributionApplication - Started MusicDistributionApplication in 2.272 seconds (process running for 2.44)
2025-04-10 12:10:27.605 [SpringApplicationShutdownHook] [] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-04-10 12:10:27.614 [SpringApplicationShutdownHook] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-04-10 12:10:27.617 [SpringApplicationShutdownHook] [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-04-10 12:15:08.403 [main] [] INFO  c.i.m.MusicDistributionApplication - Starting MusicDistributionApplication using Java 21.0.3 with PID 2537 (/Users/user/Develop/music-distribution-service/build/classes/java/main started by user in /Users/user/Develop/music-distribution-service)
2025-04-10 12:15:08.404 [main] [] DEBUG c.i.m.MusicDistributionApplication - Running with Spring Boot v3.2.4, Spring v6.1.5
2025-04-10 12:15:08.405 [main] [] INFO  c.i.m.MusicDistributionApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-10 12:15:08.876 [main] [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-10 12:15:08.886 [main] [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2025-04-10 12:15:09.286 [main] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-04-10 12:15:09.292 [main] [] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-10 12:15:09.293 [main] [] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-04-10 12:15:09.323 [main] [] INFO  o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
